Township,Year,SoilType,Seeding_DOY,Soil_temp_l1_min,Soil_temp_l1_max,Soil_temp_l1_mean,Soil_temp_l2_min,Soil_temp_l2_max,Soil_temp_l2_mean,Cumulative_GDD,Longitude,Latitude
44-18-W3,2024,Black,143,0.4236284743973256,0.7114649692763958,0.5837005031225293,0.4453139013181851,0.5227222058351991,0.4845729595754679,0.41935586299575456,0.36483304830286745,0.7817199255906768
23-26-W4,2025,Black,134,0.4379614479330754,0.9005814652020002,0.7096572609097734,0.6359002004962848,0.713443728448739,0.6838412193577175,0.30371716039151575,0.009859492726242536,0.40004544669865894
3-25-W1,2025,Black,140,0.6847278532667312,0.8458160942340789,0.7623174096170716,0.7167919660012665,0.7713694999276764,0.7400095228384078,0.35029849385747946,0.9137622224684208,0.037199428274259816
14-32-W1,2025,Black,132,0.3392997344924873,0.5405655081731895,0.447541631211886,0.36623343222907195,0.43041141581616477,0.39371761228201213,0.1257609773063723,0.8424103214878791,0.23999402445810425
21-16-W2,2024,Black,139,0.539321546234525,0.8063221896499786,0.6942318613218239,0.554687615039083,0.6249742839162704,0.5905185627153339,0.48181053679502606,0.6752645043804844,0.3636184905005386
47-25-W3,2025,Black,136,0.4516387917091427,0.7914180719265017,0.6541935727469304,0.5071613794960211,0.5817843861580122,0.548328171184491,0.2581366806279996,0.29092776545232546,0.8361375111674114
13-30-W1,2024,Black,140,0.41735443630150865,0.673108051454302,0.56576598215119,0.42460769468929016,0.5041605800679366,0.4617107721229308,0.41995492607377105,0.8618692075537702,0.2215958704537293
32-15-W2,2025,Black,133,0.3305685122821667,0.555052506095751,0.46709740958175294,0.37743123967124836,0.43728772390097836,0.4083147771130819,0.11497003652753562,0.6818692181440928,0.5635833843618503
43-19-W3,2024,Black,142,0.41630823825361,0.6881802348440612,0.5640743504985113,0.4227289129396615,0.5013723677305862,0.4611096834066775,0.3957765401009644,0.35456505267346117,0.7635529012096445
5-30-W1,2024,Black,135,0.5132166801578943,0.768720797770989,0.6637636188664368,0.5314602258254034,0.6030736346700567,0.5669169198034952,0.4058624566432501,0.8658146471232202,0.07410162976015755
5-31-W1,2025,Black,130,0.4279913038639669,0.7049145265451935,0.5799320856684743,0.4763492414904864,0.5598765463571824,0.5142914674189465,0.15450837418705543,0.8562147150771473,0.07409752012781468
4-27-W1,2025,Black,131,0.4774698333343084,0.8107082552777864,0.6597752714254463,0.5342338446991621,0.6532379857462933,0.5882839705799354,0.2591541438786029,0.8945792853696615,0.055675438740863115
41-11-W3,2025,Black,130,0.2911434795955057,0.6667872173616274,0.518071834903285,0.35767611743506705,0.4553113308850515,0.4087389024258801,0.18887163978464874,0.43757274907305455,0.7272244200614395
3-32-W1,2025,Black,128,0.4278752165047454,0.7360532271730388,0.5970321324030219,0.49595696753315266,0.5865180472110454,0.5374138001189764,0.1781514987770914,0.8466374884579793,0.03719124591785672
46-13-W4,2025,Black,134,0.47420369606597834,0.843523867627418,0.6963856545623791,0.5562788820203846,0.6480541667627311,0.6054837468311423,0.3460537975232389,0.13328406402831128,0.8182055712887131
2-31-W1,2024,Black,138,0.5884791880446062,0.8223922812560915,0.7297231895535332,0.5953778987047345,0.6632864368097222,0.6288224704313714,0.5105475070936047,0.8584982167712427,0.018612950301260867
8-33-W1,2024,Black,144,0.5326229305129154,0.7726937614858069,0.6745091597593961,0.5541781998905021,0.6238603664527512,0.5901059148001245,0.4680788854258336,0.8350617082786718,0.12918456517293642
45-26-W3,2025,Black,133,0.3639353783935037,0.7290984002082488,0.579392446005937,0.42052456892109585,0.5060389682520721,0.46533265718388195,0.1868383143375375,0.28271243458352746,0.7998694259055856
45-4-W3,2025,Black,134,0.40314140390970626,0.7773410907320031,0.6277673596127122,0.48189482356730284,0.5764807484761211,0.5299653879765167,0.2962537938321051,0.5084770351027492,0.799908878813353
43-23-W3,2024,Black,137,0.34451519876429165,0.6791168114863941,0.5248476596003013,0.3417605276376848,0.4376266277231027,0.3889299596744114,0.3293632215058584,0.3134916591236889,0.763555045724555
50-13-W4,2024,Black,148,0.39127017416422877,0.7060774425143044,0.5599864837759179,0.39180910142724246,0.4754038644099651,0.4326648280403252,0.3848202316666801,0.13220489167197336,0.8907102023237332
14-33-W1,2024,Black,145,0.5124732636514557,0.6953824928876243,0.6150695770170088,0.5072175461640468,0.5668700417430683,0.5361479984601565,0.4611905400979398,0.8327186010740952,0.23971044370533257
4-31-W1,2024,Black,141,0.6233329027589167,0.8280131219338832,0.7437057303018896,0.6374477937430084,0.6938076342569076,0.6664937509794693,0.5202110475688186,0.8562177379033127,0.05565464768296913
15-3-W2,2025,Black,148,0.5281308446942524,0.6615527841834545,0.6001744813354352,0.5587662894116073,0.6077037319631786,0.5793094299580153,0.28581308164614005,0.802901328976688,0.254429571031503
5-27-W1,2025,Black,130,0.42684117362361307,0.7655903693367043,0.6116767691007082,0.4822111172636486,0.6070531743582052,0.5390627707009775,0.1821111583591399,0.894572532349537,0.07411945159030608
56-19-W4,2024,Black,150,0.3845076700703177,0.6684896241238665,0.5427202740923414,0.37084403434250074,0.443529875068544,0.4075797808006871,0.408876585187921,0.06717099977980912,1.0
44-15-W3,2025,Black,133,0.3767020181352386,0.7389853566579466,0.5950289579342591,0.43232964168462557,0.5219401566126858,0.4788770334990505,0.27743585442917446,0.3956396441944703,0.7816846209888944
44-8-W3,2025,Black,128,0.27985346971708064,0.6428414954067841,0.49474527129211915,0.35467644635080287,0.44329960418769837,0.3996077581606272,0.1405874932127067,0.4674556360527111,0.7816878482726537
8-32-W1,2025,Black,148,0.5683688781324261,0.7334734093903974,0.6646690980268841,0.6084496027511096,0.6676407575254958,0.6357682191004845,0.30726359714873186,0.8446958538042342,0.1295036766289961
43-16-W3,2025,Black,142,0.5441752543756364,0.7846937230062907,0.6888338200656295,0.5945313630763992,0.6503934578584887,0.6248887720312587,0.36451445623962925,0.38535221301197886,0.7635237690056886
4-18-W1,2025,Black,146,0.6640449628749419,0.807914766884701,0.7386373471430834,0.6818676297958481,0.7445943307584949,0.7083686792024761,0.35644645514864054,0.9808422548372269,0.055694822182530856
45-6-W4,2025,Black,125,0.23456964351879006,0.6626556377872717,0.49001443595772026,0.31628402811387213,0.4352781775346022,0.3790934842709558,0.13903206992567463,0.20513346009879996,0.800144693144393
53-9-W4,2025,Black,131,0.3566857532193711,0.7581760206764477,0.5975206060520941,0.41761473163079765,0.522212481975821,0.4737536060070721,0.24021860447441606,0.17306641116057353,0.945457094663329
6-30-W1,2025,Black,133,0.5212814477822054,0.7449662967950111,0.6445693508026368,0.5470635620128791,0.6145301455044745,0.5760382910613454,0.25611483081486425,0.8658104703639786,0.09257819032411874
14-34-W1,2024,Black,131,0.32684353823641155,0.5950813299724644,0.48102084787797444,0.3185792657853016,0.40276022917262067,0.3592694867204187,0.2784165832424857,0.8275457807334696,0.23945744940738578
4-30-W1,2025,Black,144,0.6448551521855197,0.8248341953309172,0.7405748782810186,0.6884952784462263,0.7484965129367962,0.7149828570619905,0.38433879614023914,0.8658223438184791,0.055660397972539855
23-7-W2,2025,Black,147,0.5443273564676319,0.6890668708481966,0.6241322969268555,0.5812200677621246,0.6172479426086804,0.59774236531149,0.2945378607991112,0.7626311435711584,0.40505236187761895
33-20-W2,2025,Black,134,0.40642059554217097,0.6331870238852518,0.540213471081654,0.44967220312380896,0.49481132135616906,0.4732103668110253,0.2313437598772919,0.631799564044699,0.5817516604533868
14-33-W1,2025,Black,149,0.5432972689192338,0.6516324507423824,0.6029035501598922,0.5637600831933144,0.6037363118107912,0.5809827616788622,0.3223702652728421,0.8327186010740952,0.23971044370533257
44-15-W4,2025,Black,144,0.6227604799979805,0.8828952324049556,0.775087096915032,0.6945211513809669,0.7502186256601925,0.7253698492877839,0.5165611930408021,0.11274367534118834,0.7819222329657354
30-13-W2,2024,Black,140,0.4030925111467949,0.6743737736300331,0.5514903137002115,0.38113736962548533,0.45857782483610066,0.4183987112649423,0.4136316832260161,0.7020998813529102,0.5338958501631286
46-28-W3,2025,Black,143,0.5283439785474963,0.7988196147846871,0.6863826359997983,0.5784313835081389,0.6361210162073423,0.6099221983706447,0.32134000070601515,0.2643859569702274,0.8179566772320239
16-33-W1,2025,Black,130,0.2482589145406015,0.4457260639387783,0.3497868348507111,0.2738041439155315,0.33722120047909826,0.30091901721292724,0.03746281520507841,0.8312308215538691,0.2762642436689511
45-5-W4,2024,Black,132,0.27132148446610754,0.6645892637573462,0.468464656825754,0.2733512948715524,0.37413534947135924,0.3222166482260377,0.2559286660009364,0.215396929548608,0.8001498158466926
40-23-W2,2025,Black,139,0.4393487342769195,0.6451330585792528,0.5567381460252181,0.48558724614967363,0.5253513411507852,0.5069183928284807,0.21536171265517,0.5982308287768445,0.7090097270679472
42-24-W3,2024,Black,151,0.5518271085014821,0.8230240266751783,0.6956725966546335,0.5777139575975982,0.6670114486082691,0.6207374705471236,0.4998849736138574,0.30535052385669204,0.7454067427217534
6-29-W1,2025,Black,133,0.5302175904497343,0.7498636409607362,0.6513089395178602,0.55417996261537,0.6209914745204713,0.582594578134838,0.2519626219759772,0.8753926225356929,0.09258339473981714
5-19-W1,2025,Black,148,0.6853959211372702,0.8203262908520929,0.7576328022062973,0.7025462910737909,0.7590343552517543,0.7266775265486984,0.41031390780607735,0.9712690948106752,0.07410923980372708
46-17-W4,2025,Black,137,0.5105716048504728,0.8312391105207643,0.6966404636151191,0.5780371200294604,0.6596313181207931,0.623502236036815,0.38442457540926483,0.09221214163462665,0.8183204352698699
41-25-W2,2024,Black,137,0.3838979886556977,0.6121031226018057,0.5060870475908498,0.32979449432038316,0.39783655008319313,0.3618179023121435,0.3827441648801154,0.5779327719587064,0.7271850252853778
2-30-W1,2025,Black,148,0.7093663248637204,0.9108162744773258,0.8227204474455688,0.7520053705840303,0.8126882823684234,0.7817551706078715,0.514108120261476,0.8680012811473174,0.018643028864817168
40-23-W2,2024,Black,146,0.43655691836126664,0.6836379795843875,0.56930358077992,0.4136613020190149,0.49359016392451244,0.45255072749890074,0.4362109233532613,0.5982308287768445,0.7090097270679472
48-12-W4,2025,Black,136,0.5008159822972724,0.8466136252585456,0.7013680803125458,0.5680852192909724,0.6564929586896812,0.6150154117191311,0.36998796257354416,0.14254720250997188,0.854221132276276
32-16-W2,2024,Black,134,0.2940011871212239,0.7102294638166797,0.5297894861086495,0.3454071160913916,0.4864824030384462,0.41496786805079494,0.31612627358308715,0.671854476058388,0.5635842394227915
40-17-W3,2025,Black,134,0.3644305506153438,0.6787251837816958,0.5494718898289518,0.41185735610438934,0.48654206069494194,0.4495946403479013,0.23131668431233116,0.3765473314835299,0.7090449979155515
14-31-W1,2024,Black,137,0.3925137076944794,0.6580648262261195,0.5457359406104083,0.40540245408651615,0.48501977712477834,0.44297685091792405,0.36714889222286234,0.8521333196085452,0.2400001348788603
44-14-W3,2024,Black,130,0.25683896949752494,0.6220836986775043,0.4465695414710384,0.2591079551651983,0.3506109800306252,0.3039711566066797,0.27395266907127797,0.4059084102463064,0.7816918394732753
1-30-W1,2025,Black,131,0.5174359476118576,0.8975205527902884,0.7294404530034275,0.5986534998981822,0.7180995044794105,0.6560446123597284,0.32122321501830975,0.86801874062441,0.00010731044883094398
45-5-W3,2025,Black,127,0.25138635004338594,0.6574048654379725,0.4885091340107222,0.33028136676985886,0.4385610570001861,0.3850349065741181,0.13718848564704683,0.49824847630559344,0.7998810611956007
44-22-W3,2024,Black,134,0.29562906311764164,0.6581716390854429,0.4917990355318638,0.3007110708702758,0.40306546706299484,0.35063878232194834,0.31522195722755686,0.32375962763942656,0.781704999845827
13-32-W1,2025,Black,144,0.4512035483528675,0.6314041282194406,0.5501102910519511,0.5049763234458591,0.568072683454935,0.5318776788297644,0.2005348326987038,0.8424064550179216,0.22158600354409153
41-18-W3,2024,Black,138,0.36747978643251467,0.6520447450482836,0.5234031540986401,0.3717698202886788,0.45838517442519616,0.4135136474902852,0.3599802149117473,0.36637874470393506,0.7272200629173113
47-13-W4,2025,Black,134,0.46681670716440277,0.8263705453304657,0.6817771884339362,0.5432582690124454,0.6326798668835475,0.590473719018676,0.36011606078272007,0.13220422944092025,0.8361586677933168
24-26-W4,2025,Black,136,0.5280517084229083,0.8863418380172547,0.7355659061288151,0.6861154497334638,0.745435953509735,0.7245046496395766,0.33780607482760555,0.009864878846855163,0.4182146857526501
44-13-W3,2025,Black,136,0.43465797596150463,0.7472445877269571,0.625123947081329,0.48484741993677505,0.5499642691737298,0.5203949417628756,0.28238218833460665,0.41617311627893283,0.7816910507112329
43-15-W3,2025,Black,133,0.4092562035404382,0.7427572211015425,0.6116963910890245,0.466538443800623,0.5491759849586085,0.5095859391834399,0.2621806282155024,0.3956274721181998,0.7635208984329847
42-18-W3,2025,Black,133,0.39076560957438455,0.7218481793483909,0.5872869269013308,0.43928063445082105,0.5236150020125748,0.4815554055212587,0.2356089307090028,0.36638030058334525,0.7453908234102382
42-20-W3,2024,Black,138,0.38015177305551057,0.6858439607919218,0.5440077556012722,0.38654299613092186,0.47510997242591074,0.42920361010851427,0.36158027530659415,0.34602491792131485,0.7453819801401842
44-23-W3,2024,Black,144,0.3716848460696908,0.6782193878655549,0.5367238503982752,0.3684914688032984,0.4569091179153961,0.4124163477981044,0.3585662506729442,0.31348884484494555,0.7817085462925633
55-18-W4,2024,Black,150,0.3886189222680532,0.6837856690969351,0.5518515210801302,0.3854997488100617,0.46127492005070786,0.4234991494882713,0.4138515962425675,0.07769714807395456,0.9818337742873577
3-27-W1,2024,Black,143,0.647295098281527,0.8640980402413235,0.7776843294264718,0.6712682103064305,0.7432647817264246,0.7079032532994533,0.5751803137209837,0.8945792648790167,0.037196130237687086
22-12-W2,2025,Black,136,0.4399381493949002,0.5679559649138685,0.5026592899104914,0.4502020285926084,0.48442340417610646,0.46413164576513094,0.20064725040621112,0.7138685433990917,0.38670455378653834
49-2-W4,2025,Black,137,0.41087513355194993,0.7502136185465993,0.6080992970658212,0.4608504843202159,0.5420944067324635,0.5038221704191076,0.269504386989214,0.24595612916024479,0.8724525993329184
3-29-W1,2024,Black,148,0.6707599949436112,0.8923068863932242,0.8048418217791534,0.701159734079275,0.7789979703001012,0.7406319989342532,0.6316544722804868,0.8754222799541171,0.037191533971492774
40-11-W3,2025,Black,126,0.1940989854034069,0.5965585353279586,0.4318751390577453,0.26416965652371943,0.37230736083555727,0.3204687500502509,0.09997630438983675,0.4375732879929055,0.7090383674405185
46-2-W4,2025,Black,143,0.5322504318029265,0.8068432163700077,0.693759785708177,0.5842083470848896,0.6450647108571756,0.6173702709617334,0.3411808528325286,0.2461862001119286,0.8182293641251022
3-29-W1,2025,Black,132,0.5329151214814832,0.8551490496387443,0.712266739901747,0.5970722550131982,0.6977163995667294,0.6440328279814688,0.30714258482197837,0.8754222799541171,0.037191533971492774
8-31-W1,2025,Black,148,0.592688980162525,0.7543369060145756,0.6860074050236324,0.6297225733279415,0.6888617290860116,0.6573634952844674,0.32934245040632876,0.8543389460572275,0.12950269305135365
22-11-W2,2025,Black,138,0.43137685283536914,0.5638263284287566,0.49979027856836794,0.4521422228993206,0.48479174042385814,0.4655224754087094,0.19236411291363975,0.7236859628106043,0.38674540558483095
15-2-W2,2025,Black,145,0.4495721649134464,0.6030766719234246,0.5320928795130453,0.4868981401344731,0.5431822006755026,0.511646055715928,0.19130306543521786,0.8126182690295485,0.2544349362579066
17-5-W2,2024,Black,143,0.4821778098452662,0.7532541977932636,0.6421262794729513,0.4945325627602356,0.5791523192262108,0.5374852246614317,0.4615918467499607,0.7834473385428415,0.29084003852626417
40-13-W3,2025,Black,132,0.33483249759310024,0.6990994693887403,0.5559741763689849,0.40531470100008204,0.49415443119475827,0.4516180410303616,0.2602262669722571,0.4172209533458604,0.7090547588887084
38-23-W2,2024,Black,149,0.49084631234094794,0.705707165022749,0.6107419858371168,0.46722424139711766,0.5344464059581431,0.5010001686696451,0.5032554481306643,0.6000473809335292,0.672664438047784
21-17-W2,2024,Black,138,0.5160705714546199,0.8147324609474109,0.6914475306067155,0.5365637713012085,0.625375378096075,0.5818555162251443,0.4969193442988051,0.6654652418793914,0.36361609647728166
47-17-W4,2024,Black,150,0.5049740491663935,0.7642945655277817,0.6420281716143902,0.5205491953353906,0.5852189046922067,0.5537692403087296,0.4773165941680399,0.09097230881004403,0.8364638162249918
47-4-W4,2025,Black,140,0.5061666728916072,0.8030284029669839,0.6786770734859173,0.5584450161387243,0.6276537543045491,0.5969642242511753,0.3379781482973997,0.22528970453395747,0.8361954046429325
39-22-W2,2025,Black,142,0.5136285925792237,0.6503339052641812,0.591688486471288,0.5554782203450511,0.5726308583490997,0.5654628030613911,0.2529599380899016,0.6084055372786485,0.6908326210269315
40-22-W2,2024,Black,147,0.4540070339331584,0.6834559906451843,0.5776482338559737,0.44101000556418396,0.5111147925615074,0.47510438677278005,0.44456081882538684,0.6083942177050821,0.7090039162088413
